epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5467,1.36602,2.40819,1.24091,0.82822,0.8103,0.86686,0.50159,1.24547,2.14347,1.26139,0.000662069,0.000662069,0.000662069
2,72.3476,1.37336,1.51722,1.24714,0.83144,0.8643,0.9275,0.58613,1.19086,1.16363,1.21065,0.00131558,0.00131558,0.00131558
3,99.8664,1.36454,1.21394,1.2555,0.86292,0.86083,0.91315,0.61458,1.09372,1.11174,1.13827,0.00195589,0.00195589,0.00195589
4,130.37,1.33406,1.07822,1.26217,0.88246,0.89337,0.94734,0.61642,1.13364,0.83441,1.15398,0.0019406,0.0019406,0.0019406
5,156.756,1.26884,0.96295,1.20161,0.82207,0.89875,0.91621,0.61643,1.11193,0.79795,1.13347,0.0019208,0.0019208,0.0019208
6,199.224,1.24787,0.8997,1.20935,0.9035,0.88518,0.95077,0.63991,1.09404,0.71127,1.12695,0.001901,0.001901,0.001901
7,227.377,1.22177,0.84574,1.17581,0.92731,0.91127,0.96405,0.67725,1.04439,0.64684,1.09439,0.0018812,0.0018812,0.0018812
8,258.564,1.2063,0.84742,1.16994,0.92929,0.93291,0.97769,0.70205,0.97881,0.67882,1.05704,0.0018614,0.0018614,0.0018614
9,286.926,1.19445,0.80836,1.1643,0.94144,0.92303,0.97211,0.70233,0.98267,0.58021,1.06807,0.0018416,0.0018416,0.0018416
10,320.638,1.1675,0.7778,1.16692,0.93465,0.94061,0.9795,0.69566,1.02224,0.59304,1.07351,0.0018218,0.0018218,0.0018218
11,349.61,1.15994,0.76751,1.14775,0.95784,0.92067,0.97863,0.6909,1.05026,0.58532,1.09997,0.001802,0.001802,0.001802
12,378.274,1.15127,0.74736,1.1543,0.92957,0.90928,0.96929,0.6933,1.01033,0.59398,1.07709,0.0017822,0.0017822,0.0017822
13,409.173,1.14709,0.74908,1.14749,0.94165,0.94676,0.98203,0.7013,1.01086,0.54249,1.08695,0.0017624,0.0017624,0.0017624
14,488.776,1.13088,0.70429,1.12436,0.94395,0.94926,0.9839,0.7339,0.94387,0.52447,1.03977,0.0017426,0.0017426,0.0017426
15,520.541,1.11433,0.71245,1.13724,0.9565,0.94104,0.98542,0.73095,0.94655,0.52782,1.03813,0.0017228,0.0017228,0.0017228
16,550.696,1.11803,0.7068,1.12101,0.94518,0.95384,0.98221,0.72466,0.96686,0.51858,1.05322,0.001703,0.001703,0.001703
17,578.976,1.11171,0.68456,1.10552,0.95858,0.92484,0.97885,0.71538,0.97545,0.55923,1.06094,0.0016832,0.0016832,0.0016832
18,615.029,1.08615,0.67601,1.10147,0.95714,0.93633,0.98491,0.73062,0.93123,0.49884,1.02966,0.0016634,0.0016634,0.0016634
19,647.422,1.10166,0.67615,1.119,0.95378,0.95198,0.98624,0.74204,0.91068,0.49112,1.01914,0.0016436,0.0016436,0.0016436
20,681.466,1.07306,0.66209,1.11109,0.95709,0.95468,0.98532,0.74364,0.90833,0.47723,1.02031,0.0016238,0.0016238,0.0016238
21,730.691,1.09784,0.66775,1.11452,0.96151,0.93006,0.98329,0.73332,0.93291,0.49479,1.0385,0.001604,0.001604,0.001604
22,767.843,1.06277,0.64636,1.1084,0.96204,0.94572,0.98567,0.74174,0.91748,0.48394,1.0278,0.0015842,0.0015842,0.0015842
23,799.134,1.05564,0.63726,1.10019,0.96169,0.96956,0.99006,0.75448,0.91329,0.45782,1.01921,0.0015644,0.0015644,0.0015644
24,832.039,1.0554,0.63541,1.09002,0.96137,0.96125,0.98777,0.74062,0.91081,0.47205,1.01599,0.0015446,0.0015446,0.0015446
25,862.382,1.04598,0.6291,1.09086,0.96014,0.96033,0.98882,0.75679,0.91099,0.48224,1.02107,0.0015248,0.0015248,0.0015248
26,890.743,1.05102,0.62643,1.08088,0.96888,0.95616,0.9888,0.75496,0.90431,0.46096,1.02518,0.001505,0.001505,0.001505
27,921.693,1.05028,0.63748,1.09848,0.95551,0.96408,0.98737,0.75228,0.91883,0.47824,1.02246,0.0014852,0.0014852,0.0014852
28,950.277,1.05531,0.61636,1.08054,0.96236,0.96068,0.98765,0.75202,0.91015,0.44506,1.01133,0.0014654,0.0014654,0.0014654
29,980.854,1.0301,0.60484,1.07954,0.96637,0.95983,0.98997,0.75615,0.88578,0.44733,1.00145,0.0014456,0.0014456,0.0014456
30,1010.23,1.03677,0.61226,1.07579,0.95847,0.96138,0.98904,0.75951,0.89892,0.44033,1.01505,0.0014258,0.0014258,0.0014258
31,1048.89,1.04033,0.60815,1.0761,0.9682,0.96555,0.99071,0.76155,0.88336,0.43677,0.99723,0.001406,0.001406,0.001406
32,1078.91,1.02963,0.60066,1.07391,0.96426,0.95751,0.98927,0.76104,0.8761,0.43291,0.99782,0.0013862,0.0013862,0.0013862
33,1114.21,1.00461,0.59569,1.06852,0.9647,0.96983,0.98986,0.75571,0.91337,0.4344,1.01265,0.0013664,0.0013664,0.0013664
34,1163.58,1.01355,0.59105,1.06841,0.95518,0.96973,0.98843,0.75868,0.88259,0.43775,1.00317,0.0013466,0.0013466,0.0013466
35,1194.67,1.01107,0.59366,1.06216,0.9715,0.95303,0.99007,0.7645,0.88986,0.42814,1.00751,0.0013268,0.0013268,0.0013268
36,1226.29,0.99034,0.57604,1.05908,0.98103,0.95929,0.99059,0.75481,0.89775,0.43134,1.01497,0.001307,0.001307,0.001307
37,1259.56,1.01341,0.58069,1.07182,0.97109,0.97077,0.99144,0.76855,0.87037,0.40864,1.00012,0.0012872,0.0012872,0.0012872
38,1293.4,0.9989,0.56642,1.06753,0.95964,0.96804,0.98958,0.75599,0.89555,0.42391,1.01798,0.0012674,0.0012674,0.0012674
39,1396.62,0.9912,0.56308,1.05427,0.97336,0.96555,0.99127,0.77063,0.87081,0.40804,1.00291,0.0012476,0.0012476,0.0012476
40,1444.03,1.00049,0.5712,1.06573,0.96884,0.9736,0.99202,0.7791,0.85719,0.41576,0.99176,0.0012278,0.0012278,0.0012278
41,1477.03,0.99099,0.56927,1.05354,0.96901,0.95929,0.989,0.76226,0.88889,0.41675,1.01029,0.001208,0.001208,0.001208
42,1512.74,0.99431,0.56683,1.06119,0.9758,0.96817,0.99176,0.77357,0.88305,0.41468,0.99993,0.0011882,0.0011882,0.0011882
43,1663.51,0.98224,0.5564,1.05399,0.97774,0.9629,0.99105,0.77016,0.87996,0.4104,0.99762,0.0011684,0.0011684,0.0011684
44,1733.68,0.98081,0.55789,1.05854,0.97465,0.96323,0.99079,0.7595,0.87739,0.41303,1.00261,0.0011486,0.0011486,0.0011486
45,1765.28,0.97916,0.55311,1.07002,0.97656,0.96764,0.99169,0.78569,0.84065,0.39005,0.98243,0.0011288,0.0011288,0.0011288
46,1805.61,0.99029,0.54861,1.06795,0.97365,0.9642,0.99179,0.78105,0.84549,0.39834,0.98813,0.001109,0.001109,0.001109
47,1835.18,0.98943,0.55777,1.05462,0.96293,0.96764,0.99132,0.77517,0.85475,0.40068,0.99097,0.0010892,0.0010892,0.0010892
48,1864.94,0.97845,0.54969,1.05092,0.97758,0.95587,0.98998,0.77422,0.8689,0.41703,0.9962,0.0010694,0.0010694,0.0010694
49,1905.49,0.97671,0.54104,1.06312,0.9655,0.96398,0.99099,0.76152,0.88736,0.40473,1.00622,0.0010496,0.0010496,0.0010496
50,1949.18,0.97112,0.54268,1.04755,0.97162,0.96501,0.99058,0.77995,0.85277,0.39485,0.98888,0.0010298,0.0010298,0.0010298
51,1985.76,0.95017,0.54268,1.03835,0.9818,0.9666,0.99183,0.77553,0.8547,0.39053,0.99392,0.00101,0.00101,0.00101
52,2016.32,0.96822,0.5443,1.05908,0.9841,0.96917,0.99268,0.77757,0.8614,0.39018,0.9926,0.0009902,0.0009902,0.0009902
53,2054.96,0.96915,0.54563,1.03976,0.96518,0.97704,0.99186,0.77645,0.85479,0.39025,0.99505,0.0009704,0.0009704,0.0009704
54,2091.8,0.95854,0.53342,1.05461,0.9776,0.96764,0.9924,0.78545,0.84911,0.39317,0.98705,0.0009506,0.0009506,0.0009506
55,2139.81,0.95484,0.53789,1.03069,0.98577,0.96451,0.99197,0.77432,0.86464,0.38431,0.9934,0.0009308,0.0009308,0.0009308
56,2175.73,0.95613,0.53016,1.04134,0.97388,0.97317,0.99206,0.78174,0.8423,0.39009,0.97833,0.000911,0.000911,0.000911
57,2210.76,0.93734,0.51914,1.0354,0.98005,0.96555,0.99165,0.78458,0.84155,0.37739,0.98524,0.0008912,0.0008912,0.0008912
58,2248.58,0.9467,0.52393,1.03491,0.9741,0.97286,0.99217,0.79093,0.83222,0.37474,0.97939,0.0008714,0.0008714,0.0008714
