epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6149,1.29965,2.1375,1.2135,0.87429,0.81524,0.91311,0.56815,1.22824,1.42907,1.22521,0.000662069,0.000662069,0.000662069
2,53.0727,1.28635,1.3106,1.21097,0.87119,0.85421,0.93558,0.60135,1.16493,1.03123,1.18501,0.00131558,0.00131558,0.00131558
3,78.3636,1.27566,1.0573,1.19701,0.84359,0.84864,0.89674,0.57283,1.16821,0.91066,1.18578,0.00195589,0.00195589,0.00195589
4,103.129,1.247,0.97469,1.1981,0.85827,0.79436,0.88589,0.603,1.08227,0.97371,1.13017,0.0019406,0.0019406,0.0019406
5,130.519,1.20506,0.87743,1.16109,0.89857,0.9155,0.96278,0.64375,1.10688,0.8171,1.13869,0.0019208,0.0019208,0.0019208
6,156.487,1.20369,0.82827,1.16364,0.93199,0.87255,0.93621,0.62909,1.14311,0.81391,1.13385,0.001901,0.001901,0.001901
7,182.814,1.16343,0.78095,1.1393,0.94146,0.94012,0.98113,0.68247,1.07409,0.60101,1.09862,0.0018812,0.0018812,0.0018812
8,206.952,1.14797,0.7709,1.12956,0.94245,0.94026,0.9839,0.71437,0.97432,0.59953,1.0594,0.0018614,0.0018614,0.0018614
9,231.302,1.12767,0.74699,1.12503,0.93337,0.94154,0.98084,0.69805,1.00488,0.64128,1.07034,0.0018416,0.0018416,0.0018416
10,255.898,1.10683,0.71254,1.12093,0.94525,0.95198,0.98431,0.72275,0.95493,0.55493,1.05169,0.0018218,0.0018218,0.0018218
11,280.822,1.10295,0.71101,1.11243,0.92125,0.94022,0.96045,0.68931,1.00266,0.55306,1.06682,0.001802,0.001802,0.001802
12,305.524,1.10403,0.68486,1.11175,0.9424,0.95644,0.98487,0.7264,0.95658,0.51911,1.0474,0.0017822,0.0017822,0.0017822
13,330.126,1.07344,0.68206,1.09364,0.95371,0.93841,0.98626,0.73167,0.92419,0.52103,1.0305,0.0017624,0.0017624,0.0017624
14,357.064,1.07134,0.65793,1.09666,0.95611,0.95511,0.98706,0.72589,0.94014,0.52042,1.04024,0.0017426,0.0017426,0.0017426
15,381.476,1.07981,0.67026,1.10123,0.95058,0.94372,0.98139,0.72139,0.93824,0.58016,1.0381,0.0017228,0.0017228,0.0017228
16,406.201,1.06939,0.67304,1.09443,0.95477,0.9474,0.98435,0.72497,0.95528,0.54382,1.04838,0.001703,0.001703,0.001703
17,431.211,1.06649,0.63664,1.08829,0.94001,0.96503,0.98734,0.73421,0.92586,0.50639,1.03391,0.0016832,0.0016832,0.0016832
18,455.923,1.05372,0.6375,1.08404,0.96148,0.96397,0.98943,0.74885,0.90751,0.45728,1.02457,0.0016634,0.0016634,0.0016634
